Country Name,Region,Subregion,Intermediate Region,GNI,Internet use,International tourism,"Life expectancy, female","Life expectancy, male",Physicians per 1000,Population,Women in national parliament,"Tertiary education, female","Tertiary education, male",Greenhouse gas emissions,High Income Economy
Jordan,Asia,Western Asia,Western Asia,43567236740.1024,66.79031443,5361000.0,76.306,72.839,2.3237,10203140.0,11.5384615384615,37.3708915710449,31.5100402832031,35810.0,No
Kazakhstan,Asia,Central Asia,Central Asia,154905420732.32,81.87762554,8515000.0,77.3,68.82,3.98,18754440.0,27.1028037383178,68.4419326782227,55.3841514587402,274220.0,No
Kenya,Africa,Sub-Saharan Africa,Eastern Africa,97005399322.162,22.56511937,2049000.0,69.049,64.313,0.1565,53771300.0,21.7765042979943,9.73054027557373,13.2005300521851,78830.0,No
Kiribati,Oceania,Micronesia,Micronesia,350973780.194068,14.58181818,12000.0,72.342,64.248,0.2039,119446.0,8.88888888888889,,,110.0,No
"Korea, Dem. People's Rep.",Asia,Eastern Asia,Eastern Asia,,0.0,,75.744,68.615,3.6834,25778815.0,17.6128093158661,18.050630569458,35.2200012207031,41910.0,No
"Korea, Rep.",Asia,Eastern Asia,Eastern Asia,1643992480337.9,96.15758265,17503000.0,86.3,80.3,2.3608,51780579.0,19.0,84.9479064941406,105.811729431152,718880.0,Yes
Kosovo,Europe,Southern Europe,Southern Europe,7798607179.48718,89.44303197,,74.8,70.3,,1775378.0,,,,,No
Kuwait,Asia,Western Asia,Western Asia,154471896919.875,99.54267645,8565000.0,76.58,74.76,2.6463,4270563.0,6.34920634920635,76.474479675293,37.2107810974121,112970.0,Yes
Kyrgyz Republic,Asia,Central Asia,Central Asia,7406338903.47666,38.19903776,8508000.0,75.8,67.6,2.213,6591600.0,16.5217391304348,47.4444885253906,37.3889312744141,18120.0,No
Lao PDR,Asia,South-eastern Asia,South-eastern Asia,18094142643.7441,25.51043508,4791000.0,69.746,66.142,0.3726,7275556.0,27.5167785234899,15.2549800872803,13.6665096282959,29270.0,No
Latvia,Europe,Northern Europe,Northern Europe,33621087275.5058,86.13545644,8342000.0,79.9,70.8,3.1905,1901548.0,30.0,111.845207214355,75.4328308105469,11660.0,Yes
Lebanon,Asia,Western Asia,Western Asia,32478246857.58,78.18077489,1936000.0,80.869,77.14,2.1038,6825442.0,4.6875,20.6038703918457,31.8285694122314,34350.0,No
Lesotho,Africa,Sub-Saharan Africa,Southern Africa,2098178810.17108,29.78780333,1142000.0,57.58,51.201,0.0692,2142252.0,23.3333333333333,12.3975496292114,8.01803970336914,5850.0,No
Liberia,Africa,Sub-Saharan Africa,Western Africa,2589500410.68347,7.984479722,,65.497,62.715,0.0376,5057677.0,12.3287671232877,9.15192031860352,14.6524200439453,9200.0,No
Libya,Africa,Northern Africa,Northern Africa,26353277728.1776,21.75892062,760000.0,75.951,70.097,2.0905,6871287.0,15.9574468085106,63.6385307312012,57.4972190856934,103040.0,No
Liechtenstein,Europe,Western Europe,Western Europe,7054504550.56754,99.54661245,98099.9984741211,85.5,80.7,,38137.0,12.0,27.5909099578857,48.8372116088867,180.0,Yes
Lithuania,Europe,Northern Europe,Northern Europe,52738342284.6823,81.58186838,6150000.0,81.0,71.5,6.3528,2794700.0,26.9503546099291,85.7025527954102,62.4353408813477,18840.0,Yes
Luxembourg,Europe,Western Europe,Western Europe,45156061646.4829,97.06129871,1041000.0,84.7,80.3,3.009,632275.0,30.0,19.9639797210693,17.3039608001709,10220.0,Yes
"Macao SAR, China",Asia,Eastern Asia,Eastern Asia,48827470416.9506,86.46792571,39406000.0,87.179,81.281,1.562,649342.0,,115.811836242676,85.1034698486328,820.329836,Yes
Madagascar,Africa,Sub-Saharan Africa,Eastern Africa,13302769992.5028,4.713662899,486000.0,68.682,65.417,0.1812,27691019.0,17.8807947019868,5.21414995193481,5.48737001419067,30570.0,No
Malawi,Africa,Sub-Saharan Africa,Eastern Africa,11770810654.2474,13.78216439,871000.0,67.413,61.101,0.0358,19129955.0,22.9166666666667,0.635389983654022,1.01835000514984,18320.0,No
Malaysia,Asia,South-eastern Asia,South-eastern Asia,330425187040.947,84.21322418,26101000.0,78.317,74.234,1.5358,32365998.0,14.8648648648649,48.7429313659668,37.7102203369141,306670.0,No
Maldives,Asia,Southern Asia,Southern Asia,3759281687.21609,63.18566588,1703000.0,80.779,77.523,4.5627,540542.0,4.59770114942529,59.7783203125,16.617790222168,2380.0,No
Mali,Africa,Sub-Saharan Africa,Western Africa,16749289497.6598,12.72064096,217000.0,60.085,58.529,0.1286,20250834.0,27.891156462585,3.23422002792358,7.73753023147583,43740.0,No
Malta,Europe,Southern Europe,Southern Europe,13329361714.5839,85.77859638,3519000.0,84.7,80.6,2.8598,525285.0,13.4328358208955,68.7696914672852,50.3982582092285,2040.0,Yes
Marshall Islands,Oceania,Micronesia,Micronesia,292637300.0,38.70116262,6099.99990463257,67.8,62.8,0.4233,59194.0,6.06060606060606,27.4030094146729,24.3472595214844,240.0,No
Mauritania,Africa,Sub-Saharan Africa,Western Africa,7746329271.26922,20.80096366,30000.0,66.515,63.305,0.1865,4649660.0,20.2614379084967,4.36028003692627,7.12800979614258,14080.0,No
Mauritius,Africa,Sub-Saharan Africa,Eastern Africa,11895691998.0311,63.99989817,1418000.0,77.56,71.07,2.5331,1265740.0,20.0,47.4572296142578,33.8600082397461,6740.0,No
